Outlier,Normal,Error,Speech,Intro,Noise,Sound Effet,Genuine
Zakk Wylde,3,1,0,0,0,0,0
Blue Oyster Cult,3,5,0,0,0,0,0
Biohazard,3,0,1,1,0,0,1
