,pattern,frequency
63,"('Bbmaj', 'Gmaj', 'Bbmaj', 'Gmaj')",5
178,"('Cmaj', 'Fmaj', 'Cmaj', 'Dmaj')",5
675,"('Gmaj', 'Bmin', 'Gmaj', 'Bmin')",5
393,"('Fmaj', 'Gmaj', 'Cmaj', 'Bbmaj')",5
301,"('Fmaj', 'Amaj', 'Fmaj', 'Amaj')",5
177,"('Dmaj', 'Fmaj', 'Cmaj', 'Fmaj')",5
713,"('Amaj', 'Emin', 'Amaj', 'Emin')",5
189,"('Dmaj', 'Emaj', 'Fmaj', 'Gmaj')",4
463,"('Cmaj', 'Fmaj', 'Gmaj', 'Fmaj')",4
460,"('Emin', 'Cmaj', 'Fmaj', 'Cmaj')",4
175,"('Amin', 'Bmaj', 'Amin', 'Bmaj')",4
171,"('Gmaj', 'Amin', 'Cmaj', 'Bmaj')",4
174,"('Bmaj', 'Amin', 'Bmaj', 'Amin')",4
232,"('Amin', 'Amaj', 'Amin', 'Amaj')",4
579,"('Gmaj', 'Dmaj', 'Amin', 'Gmaj')",4
480,"('Emin', 'Emaj', 'Emin', 'Cmaj')",4
213,"('Amaj', 'Amin', 'Amaj', 'Amin')",4
127,"('Gmaj', 'Amin', 'Gmaj', 'Dmin')",4
221,"('Fmaj', 'Emaj', 'Amin', 'Gmaj')",4
170,"('Emin', 'Gmaj', 'Amin', 'Cmaj')",4
134,"('Cmaj', 'Fmaj', 'Bbmaj', 'Gmaj')",4
588,"('Bbmaj', 'Dmin', 'Cmaj', 'Gmaj')",4
176,"('Fmaj', 'Cmaj', 'Fmaj', 'Dmaj')",4
169,"('Bmaj', 'Emin', 'Gmaj', 'Amin')",4
128,"('Amin', 'Gmaj', 'Dmin', 'Gmaj')",4
481,"('Emaj', 'Emin', 'Cmaj', 'Emin')",4
172,"('Amin', 'Cmaj', 'Bmaj', 'Amin')",4
792,"('Cmaj', 'Emin', 'Cmaj', 'Gmaj')",4
394,"('Cmaj', 'Dmaj', 'Cmaj', 'Fmaj')",4
336,"('Gmaj', 'Dmaj', 'Dmin', 'Gmaj')",4
516,"('Cmaj', 'Gmaj', 'Fmaj', 'Cmaj')",4
684,"('Emaj', 'Ebmaj', 'Dmaj', 'Gmaj')",4
649,"('Amin', 'Emin', 'Cmaj', 'Gmaj')",4
518,"('Fmaj', 'Cmaj', 'Gmaj', 'Fmaj')",4
358,"('Amin', 'Fmaj', 'Cmaj', 'Gmaj')",4
511,"('Fmaj', 'Gmaj', 'Fmaj', 'Cmaj')",4
522,"('Emin', 'Cmaj', 'Gmaj', 'Fmaj')",4
293,"('Bbmaj', 'Amaj', 'Dmin', 'Cmaj')",4
292,"('Dmin', 'Bbmaj', 'Amaj', 'Dmin')",4
304,"('Dmaj', 'Dmin', 'Gmaj', 'Emaj')",4
18,"('Emaj', 'Amin', 'Gmaj', 'Fmaj')",4
287,"('Cmaj', 'Fmaj', 'Bbmaj', 'Cmaj')",4
683,"('Fmaj', 'Emaj', 'Ebmaj', 'Dmaj')",4
492,"('Amaj', 'Amin', 'Dmaj', 'Amaj')",4
8,"('Emaj', 'Emin', 'Emaj', 'Cmaj')",4
273,"('Cmaj', 'Bbmaj', 'Cmaj', 'Dmaj')",4
173,"('Cmaj', 'Bmaj', 'Amin', 'Bmaj')",4
37,"('Dmin', 'Fmaj', 'Dmin', 'Fmaj')",4
362,"('Bbmaj', 'Dmin', 'Cmaj', 'Bbmaj')",3
387,"('Fmaj', 'Cmaj', 'Gmaj', 'Cmaj')",3
194,"('Fmaj', 'Gmaj', 'Dmin', 'Fmaj')",3
378,"('Dmaj', 'Ebmaj', 'Fmaj', 'Gmaj')",3
374,"('Cmaj', 'Bbmaj', 'Fmaj', 'Bbmaj')",3
348,"('Gmaj', 'Dmin', 'Gmaj', 'Cmaj')",3
730,"('Ebmaj', 'Fmaj', 'Ebmaj', 'Dmin')",3
457,"('Fmaj', 'Gmaj', 'Cmaj', 'Emin')",3
342,"('Cmaj', 'Dmaj', 'Cmaj', 'Dmaj')",3
385,"('Fmaj', 'Amin', 'Cmaj', 'Amin')",3
399,"('Dmin', 'Cmaj', 'Dmaj', 'Cmaj')",3
341,"('Dmaj', 'Cmaj', 'Dmaj', 'Cmaj')",3
654,"('Cmaj', 'Amaj', 'Emin', 'Cmaj')",3
397,"('Amaj', 'Dmin', 'Cmaj', 'Bbmaj')",3
262,"('Cmaj', 'Fmaj', 'Cmaj', 'Gmaj')",3
410,"('Amin', 'Emin', 'Fmaj', 'Gmaj')",3
456,"('Cmaj', 'Fmaj', 'Cmaj', 'Dmin')",3
444,"('Gmin', 'Gmaj', 'Gmin', 'Fmaj')",3
601,"('Fmaj', 'Bbmaj', 'Fmaj', 'Cmaj')",3
284,"('Dmin', 'Bbmaj', 'Cmaj', 'Bbmaj')",3
589,"('Gmaj', 'Amin', 'Cmaj', 'Bbmaj')",3
289,"('Cmaj', 'Bbmaj', 'Cmaj', 'Fmaj')",3
291,"('Cmaj', 'Dmin', 'Bbmaj', 'Amaj')",3
230,"('Emin', 'Fmaj', 'Gmaj', 'Amin')",3
300,"('Amin', 'Fmaj', 'Amaj', 'Fmaj')",3
305,"('Dmin', 'Amin', 'Bmin', 'Emaj')",3
306,"('Amin', 'Bmin', 'Emaj', 'Emin')",3
226,"('Gmaj', 'Amin', 'Dmin', 'Gmaj')",3
224,"('Fmaj', 'Gmaj', 'Amin', 'Dmin')",3
223,"('Cmaj', 'Gmaj', 'Amin', 'Gmaj')",3
220,"('Amin', 'Fmaj', 'Emaj', 'Amin')",3
417,"('Fmaj', 'Gmin', 'Gmaj', 'Gmin')",3
414,"('Gmaj', 'Amin', 'Gmaj', 'Amaj')",3
659,"('Emin', 'Amaj', 'Emin', 'Amin')",3
334,"('Dmaj', 'Dmin', 'Gmaj', 'Dmaj')",3
715,"('Emin', 'Amin', 'Emin', 'Amaj')",3
267,"('Fmaj', 'Cmaj', 'Gmaj', 'Amaj')",3
626,"('Gmin', 'Amin', 'Fmaj', 'Gmaj')",3
124,"('Fmin', 'Gmaj', 'Fmin', 'Gmaj')",3
739,"('Fmaj', 'Gmin', 'Gmaj', 'Cmaj')",3
36,"('Fmaj', 'Gmaj', 'Dmin', 'Dmaj')",3
38,"('Fmaj', 'Dmin', 'Fmaj', 'Dmaj')",3
487,"('Cmaj', 'Emin', 'Cmaj', 'Amin')",3
39,"('Dmin', 'Fmaj', 'Dmaj', 'Dmin')",3
558,"('Fmaj', 'Gmaj', 'Fmaj', 'Amin')",3
150,"('Gmaj', 'Cmaj', 'Fmaj', 'Bbmaj')",3
79,"('Gmaj', 'Cmaj', 'Gmaj', 'Gmin')",3
501,"('Fmaj', 'Amin', 'Amaj', 'Amin')",3
154,"('Emaj', 'Amaj', 'Dmin', 'Gmaj')",3
139,"('Cmin', 'Fmaj', 'Bbmaj', 'Gmin')",3
801,"('Fmaj', 'Bbmaj', 'Gmaj', 'Cmaj')",3
138,"('Gmaj', 'Cmin', 'Fmaj', 'Bbmaj')",3
559,"('Gmaj', 'Fmaj', 'Amin', 'Fmaj')",3
488,"('Emin', 'Cmaj', 'Amin', 'Cmaj')",3
802,"('Bbmaj', 'Gmaj', 'Cmaj', 'Fmaj')",3
135,"('Fmaj', 'Bbmaj', 'Gmaj', 'Cmin')",3
119,"('Dmin', 'Gmaj', 'Amin', 'Gmaj')",3
166,"('Amin', 'Bmaj', 'Emin', 'Amin')",3
133,"('Bbmaj', 'Gmin', 'Cmaj', 'Fmaj')",3
164,"('Amaj', 'Dmaj', 'Dmin', 'Gmaj')",3
572,"('Dmaj', 'Amin', 'Gmaj', 'Fmaj')",3
16,"('Fmaj', 'Amin', 'Emaj', 'Amin')",3
35,"('Cmaj', 'Fmaj', 'Gmaj', 'Dmin')",3
102,"('Amin', 'Emin', 'Amin', 'Emin')",3
103,"('Emin', 'Amin', 'Emin', 'Amin')",3
