,pattern,frequency
757,"('Gmin', 'Cmaj', 'Gmaj', 'Ebmaj')",1
758,"('Cmaj', 'Gmaj', 'Ebmaj', 'Cmaj')",1
759,"('Gmaj', 'Cmaj', 'Gmin', 'Gmaj')",1
760,"('Cmaj', 'Ebmaj', 'Cmaj', 'Emin')",1
761,"('Dmin', 'Cmaj', 'Fmaj', 'Dmin')",1
762,"('Gmaj', 'Cmaj', 'Gmaj', 'Dmin')",1
763,"('Cmaj', 'Gmaj', 'Dmin', 'Amaj')",1
764,"('Gmaj', 'Dmin', 'Amaj', 'Dmaj')",1
765,"('Amin', 'Cmaj', 'Gmaj', 'Cmaj')",1
766,"('Emaj', 'Cmaj', 'Dmin', 'Bbmaj')",1
750,"('Gmaj', 'Fmaj', 'Cmaj', 'Dmin')",1
749,"('Dmin', 'Fmaj', 'Gmaj', 'Fmaj')",1
748,"('Fmaj', 'Dmin', 'Dmaj', 'Dmin')",1
736,"('Cmin', 'Fmaj', 'Ebmaj', 'Fmaj')",1
729,"('Gmin', 'Gmaj', 'Cmaj', 'Cmin')",1
731,"('Fmaj', 'Ebmaj', 'Dmin', 'Dmaj')",1
732,"('Ebmaj', 'Dmin', 'Dmaj', 'Gmaj')",1
733,"('Abmaj', 'Bbmaj', 'Abmin', 'Gmaj')",1
734,"('Bbmaj', 'Abmin', 'Gmaj', 'Cmaj')",1
735,"('Abmin', 'Gmaj', 'Cmaj', 'Cmin')",1
737,"('Fmaj', 'Ebmaj', 'Dmin', 'Gbmin')",1
747,"('Emin', 'Amaj', 'Emin', 'Emaj')",1
738,"('Dmin', 'Gmin', 'Gmaj', 'Gmin')",1
740,"('Gmin', 'Gmaj', 'Cmaj', 'Amin')",1
743,"('Emaj', 'Amin', 'Emin', 'Emaj')",1
744,"('Amin', 'Emin', 'Emaj', 'Emin')",1
745,"('Emin', 'Emaj', 'Emin', 'Amaj')",1
746,"('Emaj', 'Emin', 'Amaj', 'Emin')",1
768,"('Dmin', 'Amin', 'Cmaj', 'Cmin')",1
771,"('Dmin', 'Amin', 'Dmaj', 'Amaj')",1
727,"('Amin', 'Cmaj', 'Amaj', 'Emin')",1
772,"('Dmin', 'Fmaj', 'Bbmaj', 'Gmaj')",1
797,"('Emaj', 'Amaj', 'Cmaj', 'Gmaj')",1
798,"('Emaj', 'Gbmin', 'Gbmaj', 'Dmaj')",1
799,"('Gbmin', 'Gbmaj', 'Dmaj', 'Dbmaj')",1
800,"('Cmin', 'Cmaj', 'Fmaj', 'Bbmaj')",1
803,"('Bbmaj', 'Gmaj', 'Cmaj', 'Bbmin')",1
804,"('Bbmaj', 'Gmin', 'Cmaj', 'Fmin')",1
805,"('Gmaj', 'Cmaj', 'Bbmaj', 'Gmaj')",1
806,"('Cmaj', 'Bbmaj', 'Gmaj', 'Cmaj')",1
807,"('Gmaj', 'Cmaj', 'Fmaj', 'Bbmin')",1
808,"('Gmin', 'Cmaj', 'Fmaj', 'Bbmaj')",1
809,"('Cmaj', 'Fmaj', 'Bbmaj', 'Gmin')",1
810,"('Gmaj', 'Cmaj', 'Fmaj', 'Bmaj')",1
811,"('Amin', 'Cmaj', 'Bbmaj', 'Fmaj')",1
812,"('Cmaj', 'Gmaj', 'Amaj', 'Cmaj')",1
813,"('Gmaj', 'Amaj', 'Cmaj', 'Bbmaj')",1
796,"('Amaj', 'Fmaj', 'Cmaj', 'Gmaj')",1
795,"('Cmaj', 'Gmaj', 'Amaj', 'Amin')",1
793,"('Cmaj', 'Gmaj', 'Fmaj', 'Amaj')",1
781,"('Dmin', 'Fmaj', 'Gmaj', 'Amin')",1
773,"('Fmaj', 'Bbmaj', 'Gmaj', 'Amin')",1
775,"('Dmaj', 'Amin', 'Dmin', 'Amin')",1
776,"('Amin', 'Dmin', 'Amin', 'Dmaj')",1
778,"('Dmaj', 'Fmaj', 'Dmin', 'Fmaj')",1
779,"('Fmaj', 'Dmin', 'Fmaj', 'Gmaj')",1
780,"('Fmaj', 'Amin', 'Gmaj', 'Dmaj')",1
782,"('Fmaj', 'Dmaj', 'Gmaj', 'Dmaj')",1
791,"('Bbmaj', 'Cmaj', 'Bbmaj', 'Dmin')",1
783,"('Dmaj', 'Cmaj', 'Fmaj', 'Dmin')",1
784,"('Cmaj', 'Fmaj', 'Dmin', 'Bbmaj')",1
786,"('Bbmaj', 'Cmaj', 'Fmaj', 'Bbmaj')",1
787,"('Dmin', 'Bbmaj', 'Cmaj', 'Dmin')",1
788,"('Dmin', 'Bbmaj', 'Cmaj', 'Dmaj')",1
789,"('Fmaj', 'Abmaj', 'Dmaj', 'Cmaj')",1
728,"('Bbmaj', 'Abmin', 'Abmaj', 'Bbmaj')",1
726,"('Bmin', 'Amin', 'Cmaj', 'Amaj')",1
628,"('Emaj', 'Emin', 'Bmin', 'Emin')",1
672,"('Dmin', 'Bbmaj', 'Amin', 'Gmaj')",1
648,"('Amin', 'Fmaj', 'Amin', 'Amaj')",1
653,"('Emin', 'Cmaj', 'Amaj', 'Emin')",1
655,"('Amaj', 'Emin', 'Cmaj', 'Gmaj')",1
657,"('Emin', 'Cmaj', 'Emin', 'Amaj')",1
660,"('Emin', 'Amin', 'Emin', 'Cmaj')",1
661,"('Amin', 'Emin', 'Cmaj', 'Amaj')",1
662,"('Emin', 'Amin', 'Gmaj', 'Amin')",1
663,"('Amin', 'Gmaj', 'Amin', 'Amaj')",1
664,"('Amin', 'Amaj', 'Emin', 'Cmaj')",1
665,"('Amin', 'Emaj', 'Amin', 'Emaj')",1
666,"('Gbmaj', 'Amaj', 'Cmaj', 'Amaj')",1
667,"('Amaj', 'Dbmin', 'Bmaj', 'Emaj')",1
668,"('Amin', 'Gmaj', 'Cmaj', 'Bbmaj')",1
669,"('Dbmin', 'Bmaj', 'Fmaj', 'Dmin')",1
670,"('Bmaj', 'Fmaj', 'Dmin', 'Bbmaj')",1
647,"('Cmaj', 'Amaj', 'Amin', 'Cmaj')",1
646,"('Amaj', 'Fmaj', 'Amin', 'Dmaj')",1
645,"('Amin', 'Cmaj', 'Fmaj', 'Cmaj')",1
636,"('Cmaj', 'Amin', 'Cmaj', 'Emin')",1
630,"('Amin', 'Emin', 'Gmin', 'Fmaj')",1
631,"('Cmaj', 'Emin', 'Gmaj', 'Fmaj')",1
632,"('Cmin', 'Fmaj', 'Cmaj', 'Cmin')",1
633,"('Emin', 'Emaj', 'Cmaj', 'Emin')",1
634,"('Emaj', 'Cmaj', 'Emin', 'Emaj')",1
635,"('Cmaj', 'Emin', 'Cmaj', 'Emaj')",1
637,"('Amin', 'Cmaj', 'Emin', 'Cmaj')",1
644,"('Amaj', 'Amin', 'Cmaj', 'Fmaj')",1
638,"('Amin', 'Dmaj', 'Amaj', 'Cmaj')",1
639,"('Amaj', 'Amin', 'Cmaj', 'Amin')",1
640,"('Fmaj', 'Cmaj', 'Dmaj', 'Cmaj')",1
641,"('Amin', 'Amaj', 'Cmaj', 'Amin')",1
642,"('Amaj', 'Cmaj', 'Amin', 'Fmaj')",1
643,"('Cmaj', 'Amin', 'Fmaj', 'Cmaj')",1
671,"('Fmaj', 'Dmin', 'Bbmaj', 'Amin')",1
673,"('Bbmaj', 'Amin', 'Gmaj', 'Cmaj')",1
724,"('Gmaj', 'Bmaj', 'Bmin', 'Amin')",1
674,"('Amin', 'Gmaj', 'Bmin', 'Gmaj')",1
702,"('Cmaj', 'Emin', 'Amin', 'Fmaj')",1
704,"('Gmaj', 'Amin', 'Emin', 'Fmaj')",1
705,"('Gmaj', 'Cmaj', 'Emin', 'Fmaj')",1
707,"('Emaj', 'Cmin', 'Gmaj', 'Cmin')",1
708,"('Emin', 'Emaj', 'Emin', 'Dmaj')",1
709,"('Emaj', 'Emin', 'Dmaj', 'Amaj')",1
710,"('Emin', 'Bmaj', 'Emaj', 'Emin')",1
711,"('Bmaj', 'Emaj', 'Emin', 'Emaj')",1
716,"('Amin', 'Emin', 'Amaj', 'Emin')",1
717,"('Cmaj', 'Cmin', 'Cmaj', 'Ebmaj')",1
719,"('Cmaj', 'Emin', 'Amin', 'Emin')",1
720,"('Amin', 'Amaj', 'Cmaj', 'Amaj')",1
721,"('Bmin', 'Dmin', 'Amin', 'Bmin')",1
722,"('Gmaj', 'Gbmin', 'Gmaj', 'Bmaj')",1
723,"('Gbmin', 'Gmaj', 'Bmaj', 'Bmin')",1
700,"('Dmin', 'Dmaj', 'Dmin', 'Amin')",1
699,"('Fmaj', 'Dmaj', 'Dmin', 'Dmaj')",1
698,"('Gmaj', 'Gmin', 'Fmaj', 'Ebmaj')",1
682,"('Amin', 'Gmaj', 'Cmaj', 'Gmaj')",1
676,"('Bmin', 'Gmaj', 'Bmin', 'Emin')",1
677,"('Gmaj', 'Bmin', 'Emin', 'Gmaj')",1
678,"('Bmin', 'Emin', 'Gmaj', 'Bmin')",1
679,"('Emin', 'Gmaj', 'Bmin', 'Gmaj')",1
680,"('Gmaj', 'Bmin', 'Gmaj', 'Amin')",1
681,"('Bmin', 'Gmaj', 'Bmin', 'Gmaj')",1
535,"('Amin', 'Gmaj', 'Cmaj', 'Fmaj')",1
697,"('Bmin', 'Gmaj', 'Bmin', 'Cmaj')",1
688,"('Dmaj', 'Ebmaj', 'Gmin', 'Gmaj')",1
689,"('Fmaj', 'Gmin', 'Ebmaj', 'Bbmin')",1
690,"('Gmin', 'Ebmaj', 'Bbmin', 'Bbmaj')",1
691,"('Ebmaj', 'Bbmin', 'Bbmaj', 'Fmaj')",1
695,"('Ebmaj', 'Bbmaj', 'Fmaj', 'Gmin')",1
696,"('Bmin', 'Gmaj', 'Dmaj', 'Gmaj')",1
536,"('Cmaj', 'Emin', 'Gmaj', 'Cmaj')",1
407,"('Gmaj', 'Amin', 'Gmaj', 'Emin')",1
534,"('Emin', 'Amin', 'Gmaj', 'Cmaj')",1
202,"('Amin', 'Cmaj', 'Gmaj', 'Dmin')",1
195,"('Gmaj', 'Dmin', 'Fmaj', 'Gmaj')",1
196,"('Fmaj', 'Cmaj', 'Dmin', 'Fmaj')",1
198,"('Dmin', 'Gmaj', 'Dmin', 'Fmaj')",1
199,"('Gmaj', 'Dmin', 'Fmaj', 'Dmin')",1
200,"('Dmin', 'Fmaj', 'Gmin', 'Dmin')",1
201,"('Dmin', 'Amin', 'Cmaj', 'Gmaj')",1
203,"('Dmaj', 'Amin', 'Cmaj', 'Gmaj')",1
212,"('Cmaj', 'Bbmaj', 'Ebmaj', 'Cmaj')",1
204,"('Fmaj', 'Bbmaj', 'Fmaj', 'Gmaj')",1
205,"('Cmaj', 'Dmaj', 'Gmaj', 'Dmaj')",1
206,"('Fmaj', 'Amin', 'Dmin', 'Amin')",1
208,"('Amaj', 'Amin', 'Dmaj', 'Cmaj')",1
209,"('Amin', 'Dmaj', 'Cmaj', 'Emin')",1
210,"('Fmaj', 'Cmaj', 'Gmin', 'Cmaj')",1
193,"('Dmin', 'Fmaj', 'Gmin', 'Fmaj')",1
191,"('Gmaj', 'Fmaj', 'Dmin', 'Gmaj')",1
187,"('Gmaj', 'Dmin', 'Dmaj', 'Emaj')",1
186,"('Dmin', 'Dmaj', 'Fmaj', 'Gmaj')",1
185,"('Gmaj', 'Dmin', 'Dmaj', 'Fmaj')",1
183,"('Dmaj', 'Cmaj', 'Fmaj', 'Cmaj')",1
182,"('Cmaj', 'Amin', 'Cmaj', 'Fmaj')",1
181,"('Fmaj', 'Cmaj', 'Amin', 'Cmaj')",1
180,"('Cmaj', 'Dmaj', 'Fmaj', 'Cmaj')",1
179,"('Fmaj', 'Cmaj', 'Dmaj', 'Fmaj')",1
163,"('Dmin', 'Emaj', 'Dmin', 'Emaj')",1
162,"('Gmaj', 'Dmin', 'Emaj', 'Dmin')",1
161,"('Dmin', 'Gmaj', 'Dmin', 'Emaj')",1
160,"('Dmin', 'Emin', 'Amaj', 'Abmaj')",1
159,"('Dmin', 'Gmaj', 'Dmin', 'Emin')",1
155,"('Amaj', 'Dmin', 'Gmaj', 'Dmaj')",1
153,"('Dmaj', 'Emaj', 'Amaj', 'Dmin')",1
211,"('Cmaj', 'Gmin', 'Cmaj', 'Ebmaj')",1
214,"('Amaj', 'Gmaj', 'Fmaj', 'Cmaj')",1
147,"('Bbmaj', 'Gmin', 'Cmin', 'Fmaj')",1
265,"('Dmaj', 'Dmin', 'Gmaj', 'Amaj')",1
255,"('Emin', 'Dmaj', 'Dmin', 'Amaj')",1
257,"('Gmaj', 'Amaj', 'Amin', 'Emaj')",1
258,"('Amin', 'Fmaj', 'Gmaj', 'Amaj')",1
260,"('Gmaj', 'Amaj', 'Fmaj', 'Cmaj')",1
261,"('Amaj', 'Fmaj', 'Cmaj', 'Fmaj')",1
264,"('Emin', 'Dmaj', 'Dmin', 'Gmaj')",1
266,"('Dmin', 'Gmaj', 'Amaj', 'Amin')",1
215,"('Gmaj', 'Fmaj', 'Cmaj', 'Amaj')",1
268,"('Cmaj', 'Gmaj', 'Amaj', 'Gmaj')",1
270,"('Emaj', 'Amin', 'Fmaj', 'Gmaj')",1
271,"('Dmaj', 'Cmaj', 'Bbmaj', 'Dmin')",1
280,"('Cmaj', 'Dmin', 'Bbmaj', 'Amin')",1
283,"('Cmaj', 'Dmin', 'Cmaj', 'Fmaj')",1
295,"('Cmaj', 'Amin', 'Gmaj', 'Cmaj')",1
252,"('Gmaj', 'Amaj', 'Amin', 'Emin')",1
250,"('Dmaj', 'Fmaj', 'Gmaj', 'Amaj')",1
248,"('Gmaj', 'Amaj', 'Emaj', 'Emin')",1
247,"('Fmaj', 'Gmaj', 'Emin', 'Fmaj')",1
246,"('Amin', 'Fmaj', 'Gmaj', 'Emin')",1
244,"('Dmaj', 'Bmin', 'Gmaj', 'Dmin')",1
243,"('Fmaj', 'Dmin', 'Bbmaj', 'Dmin')",1
241,"('Dmin', 'Dmaj', 'Bmin', 'Gmaj')",1
236,"('Amaj', 'Amin', 'Cmaj', 'Amaj')",1
235,"('Amaj', 'Gmaj', 'Cmaj', 'Gmaj')",1
234,"('Dmaj', 'Amaj', 'Gmaj', 'Cmaj')",1
233,"('Amaj', 'Dmaj', 'Amaj', 'Gmaj')",1
231,"('Gmaj', 'Amin', 'Emaj', 'Gmaj')",1
229,"('Cmaj', 'Amin', 'Fmaj', 'Gmaj')",1
227,"('Amin', 'Dmin', 'Gmaj', 'Amin')",1
217,"('Dmin', 'Gmaj', 'Amin', 'Fmaj')",1
216,"('Fmaj', 'Cmaj', 'Amaj', 'Gmaj')",1
151,"('Bbmaj', 'Fmaj', 'Abmaj', 'Ebmaj')",1
146,"('Fmaj', 'Bbmaj', 'Gmin', 'Cmin')",1
299,"('Fmaj', 'Gmaj', 'Fmaj', 'Emin')",1
43,"('Cmaj', 'Gmaj', 'Fmaj', 'Bbmaj')",1
32,"('Dmin', 'Dmaj', 'Fmaj', 'Dmaj')",1
33,"('Fmaj', 'Dmaj', 'Cmaj', 'Fmaj')",1
34,"('Dmaj', 'Cmaj', 'Fmaj', 'Gmaj')",1
40,"('Fmaj', 'Dmaj', 'Dmin', 'Fmaj')",1
41,"('Dmaj', 'Dmin', 'Fmaj', 'Dmaj')",1
42,"('Fmaj', 'Dmaj', 'Dmin', 'Cmaj')",1
47,"('Emaj', 'Amin', 'Fmaj', 'Amin')",1
64,"('Cmaj', 'Ebmaj', 'Gmaj', 'Amin')",1
48,"('Amin', 'Fmaj', 'Amin', 'Emaj')",1
51,"('Emaj', 'Fmaj', 'Emaj', 'Cmaj')",1
52,"('Fmaj', 'Emaj', 'Cmaj', 'Fmaj')",1
53,"('Emaj', 'Cmaj', 'Fmaj', 'Gmaj')",1
56,"('Amin', 'Fmaj', 'Cmaj', 'Emaj')",1
58,"('Amin', 'Fmaj', 'Cmaj', 'Amin')",1
28,"('Emin', 'Amin', 'Gmaj', 'Fmaj')",1
27,"('Fmaj', 'Emin', 'Amin', 'Gmaj')",1
25,"('Amin', 'Gmaj', 'Fmaj', 'Emin')",1
24,"('Amin', 'Dmaj', 'Gmaj', 'Amin')",1
23,"('Emaj', 'Amin', 'Gmaj', 'Amin')",1
22,"('Fmaj', 'Gmaj', 'Amaj', 'Emaj')",1
21,"('Dmaj', 'Dmin', 'Amin', 'Gmaj')",1
20,"('Cmaj', 'Dmaj', 'Dmin', 'Amin')",1
19,"('Amin', 'Cmaj', 'Dmaj', 'Dmin')",1
17,"('Amin', 'Emaj', 'Amin', 'Gmaj')",1
15,"('Gmaj', 'Fmaj', 'Amin', 'Emaj')",1
11,"('Cmaj', 'Amin', 'Emaj', 'Emin')",1
10,"('Emin', 'Emaj', 'Cmaj', 'Gmaj')",1
9,"('Emin', 'Emaj', 'Cmaj', 'Dmaj')",1
5,"('Ebmaj', 'Gmin', 'Fmaj', 'Ebmaj')",1
4,"('Fmaj', 'Ebmaj', 'Gmin', 'Fmaj')",1
3,"('Gmaj', 'Fmaj', 'Ebmaj', 'Gmin')",1
59,"('Fmaj', 'Cmaj', 'Amin', 'Fmaj')",1
65,"('Ebmaj', 'Gmaj', 'Amin', 'Emaj')",1
145,"('Fmaj', 'Abmaj', 'Ebmaj', 'Fmaj')",1
112,"('Cmin', 'Abmaj', 'Fmaj', 'Cmaj')",1
100,"('Emin', 'Emaj', 'Emin', 'Gmaj')",1
101,"('Emin', 'Bbmin', 'Gbmaj', 'Bmaj')",1
104,"('Emin', 'Emaj', 'Emin', 'Amin')",1
105,"('Cmaj', 'Abmaj', 'Fmin', 'Bbmaj')",1
106,"('Bbmaj', 'Cmin', 'Abmaj', 'Fmin')",1
111,"('Gmaj', 'Amin', 'Emin', 'Amin')",1
125,"('Gmaj', 'Fmin', 'Gmaj', 'Emin')",1
66,"('Gmaj', 'Bbmaj', 'Gmaj', 'Amin')",1
126,"('Emin', 'Gmaj', 'Amin', 'Gmaj')",1
136,"('Bbmaj', 'Gmaj', 'Cmin', 'Fmin')",1
137,"('Fmaj', 'Bbmin', 'Gmin', 'Gmaj')",1
140,"('Cmaj', 'Cmin', 'Fmaj', 'Bbmaj')",1
143,"('Gmin', 'Cmaj', 'Fmaj', 'Abmaj')",1
144,"('Cmaj', 'Fmaj', 'Abmaj', 'Ebmaj')",1
99,"('Gmin', 'Gmaj', 'Cmaj', 'Gmaj')",1
97,"('Amin', 'Cmin', 'Dmin', 'Gmin')",1
96,"('Fmaj', 'Amin', 'Cmin', 'Dmin')",1
95,"('Bbmaj', 'Dmin', 'Bbmaj', 'Fmaj')",1
93,"('Fmaj', 'Bbmaj', 'Fmaj', 'Gmin')",1
91,"('Gmin', 'Bbmaj', 'Fmaj', 'Bbmaj')",1
90,"('Gmin', 'Fmaj', 'Amin', 'Cmin')",1
89,"('Fmaj', 'Gmin', 'Fmaj', 'Gmaj')",1
88,"('Bbmaj', 'Fmaj', 'Amin', 'Cmin')",1
82,"('Cmin', 'Gmaj', 'Gmin', 'Gmaj')",1
81,"('Gmin', 'Cmin', 'Gmaj', 'Gmin')",1
80,"('Gmaj', 'Gmin', 'Cmin', 'Gmaj')",1
78,"('Gmin', 'Gmaj', 'Ebmaj', 'Gmaj')",1
76,"('Gmaj', 'Ebmaj', 'Gmaj', 'Gmin')",1
73,"('Gmaj', 'Fmaj', 'Gmaj', 'Ebmaj')",1
70,"('Amin', 'Fmaj', 'Dmaj', 'Amin')",1
69,"('Cmaj', 'Abmin', 'Fmaj', 'Cmaj')",1
296,"('Emin', 'Fmaj', 'Amin', 'Fmaj')",1
302,"('Fmaj', 'Amaj', 'Fmaj', 'Amin')",1
533,"('Gmaj', 'Emin', 'Amin', 'Gmaj')",1
455,"('Dmin', 'Dmaj', 'Ebmaj', 'Fmaj')",1
449,"('Gmin', 'Ebmaj', 'Dmin', 'Ebmaj')",1
450,"('Ebmaj', 'Dmin', 'Ebmaj', 'Fmaj')",1
451,"('Fmaj', 'Cmin', 'Gmin', 'Ebmaj')",1
452,"('Gmin', 'Amin', 'Abmaj', 'Gmaj')",1
453,"('Amin', 'Abmaj', 'Gmaj', 'Ebmaj')",1
454,"('Ebmaj', 'Dmin', 'Dmaj', 'Ebmaj')",1
458,"('Gmaj', 'Cmaj', 'Emin', 'Cmaj')",1
473,"('Cmin', 'Cmaj', 'Cmin', 'Fmin')",1
462,"('Emin', 'Cmaj', 'Fmaj', 'Gmaj')",1
465,"('Fmaj', 'Cmaj', 'Dmin', 'Gmaj')",1
466,"('Bbmaj', 'Dmaj', 'Bbmaj', 'Gmaj')",1
467,"('Amin', 'Gmaj', 'Fmaj', 'Cmaj')",1
470,"('Cmaj', 'Abmaj', 'Fmin', 'Dmin')",1
471,"('Abmaj', 'Fmin', 'Dmin', 'Bbmaj')",1
448,"('Fmaj', 'Gmin', 'Ebmaj', 'Dmin')",1
447,"('Ebmaj', 'Fmaj', 'Gmin', 'Ebmaj')",1
446,"('Ebmaj', 'Gmaj', 'Fmaj', 'Gmaj')",1
445,"('Gmin', 'Fmaj', 'Gmaj', 'Fmaj')",1
443,"('Fmaj', 'Bbmaj', 'Amin', 'Fmaj')",1
442,"('Gmin', 'Fmaj', 'Bbmaj', 'Amin')",1
441,"('Ebmin', 'Gmin', 'Fmaj', 'Bbmaj')",1
440,"('Fmaj', 'Bbmaj', 'Amaj', 'Fmaj')",1
439,"('Amin', 'Fmaj', 'Gmaj', 'Ebmaj')",1
438,"('Fmaj', 'Gmaj', 'Fmaj', 'Gmin')",1
436,"('Gmin', 'Bbmaj', 'Gmin', 'Ebmaj')",1
435,"('Bbmaj', 'Fmaj', 'Abmaj', 'Gmaj')",1
434,"('Bbmaj', 'Dmin', 'Fmin', 'Gmaj')",1
433,"('Gmaj', 'Bbmaj', 'Dmin', 'Fmin')",1
432,"('Fmaj', 'Gmaj', 'Bbmaj', 'Dmin')",1
431,"('Gmin', 'Fmaj', 'Gmaj', 'Bbmaj')",1
429,"('Gmin', 'Ebmaj', 'Gmin', 'Ebmaj')",1
472,"('Gmaj', 'Fmaj', 'Gmaj', 'Dmaj')",1
474,"('Cmaj', 'Cmin', 'Fmin', 'Fmaj')",1
427,"('Fmin', 'Gmaj', 'Dmin', 'Gmaj')",1
523,"('Dmaj', 'Dmin', 'Gmaj', 'Cmaj')",1
513,"('Fmaj', 'Gmaj', 'Dmin', 'Cmaj')",1
514,"('Dmin', 'Cmaj', 'Fmaj', 'Gmaj')",1
517,"('Gmaj', 'Fmaj', 'Cmaj', 'Gmaj')",1
519,"('Cmaj', 'Gmaj', 'Fmaj', 'Emin')",1
520,"('Gmaj', 'Fmaj', 'Emin', 'Cmaj')",1
521,"('Fmaj', 'Emin', 'Cmaj', 'Gmaj')",1
524,"('Dmin', 'Gmaj', 'Cmaj', 'Dmin')",1
475,"('Cmin', 'Fmin', 'Fmaj', 'Cmaj')",1
525,"('Gmaj', 'Cmaj', 'Dmin', 'Cmaj')",1
527,"('Cmaj', 'Dmin', 'Cmaj', 'Gmaj')",1
528,"('Fmaj', 'Gmaj', 'Abmaj', 'Dmaj')",1
529,"('Cmaj', 'Gmaj', 'Dmin', 'Cmaj')",1
530,"('Dmaj', 'Dmin', 'Bbmaj', 'Dmin')",1
532,"('Dmin', 'Cmaj', 'Bbmaj', 'Dmin')",1
508,"('Gmaj', 'Bmin', 'Bbmaj', 'Dmaj')",1
507,"('Dmaj', 'Gmaj', 'Bmin', 'Bbmaj')",1
506,"('Gmaj', 'Bbmaj', 'Dmin', 'Gmaj')",1
505,"('Cmaj', 'Cmin', 'Cmaj', 'Amin')",1
504,"('Gmaj', 'Gmin', 'Cmaj', 'Cmin')",1
503,"('Gmin', 'Gmaj', 'Gmin', 'Cmaj')",1
502,"('Amin', 'Amaj', 'Amin', 'Cmaj')",1
500,"('Fmaj', 'Cmaj', 'Amaj', 'Amin')",1
499,"('Cmin', 'Fmaj', 'Amin', 'Cmaj')",1
498,"('Amin', 'Fmaj', 'Cmaj', 'Fmaj')",1
494,"('Amin', 'Dmaj', 'Amin', 'Cmaj')",1
491,"('Cmaj', 'Emaj', 'Amin', 'Amaj')",1
489,"('Amin', 'Amaj', 'Fmaj', 'Cmaj')",1
479,"('Amin', 'Gmaj', 'Amin', 'Cmaj')",1
478,"('Cmin', 'Abmaj', 'Fmin', 'Bbmaj')",1
477,"('Gmaj', 'Amin', 'Gmaj', 'Cmin')",1
476,"('Fmaj', 'Cmaj', 'Abmaj', 'Fmin')",1
428,"('Cmin', 'Gmin', 'Ebmaj', 'Gmin')",1
426,"('Fmin', 'Gmaj', 'Bbmaj', 'Fmaj')",1
303,"('Amaj', 'Fmaj', 'Amin', 'Fmaj')",1
344,"('Dmaj', 'Dmin', 'Dmaj', 'Cmaj')",1
333,"('Cmaj', 'Cmin', 'Abmaj', 'Cmaj')",1
337,"('Dmaj', 'Gmaj', 'Dmaj', 'Dmin')",1
338,"('Gmaj', 'Dmin', 'Gmin', 'Dmin')",1
339,"('Dmin', 'Gmaj', 'Dmin', 'Dmaj')",1
340,"('Dmin', 'Dmaj', 'Cmaj', 'Dmaj')",1
343,"('Bbmaj', 'Dmaj', 'Dmin', 'Dmaj')",1
345,"('Amin', 'Dmin', 'Gmaj', 'Dmaj')",1
356,"('Fmaj', 'Dmin', 'Dmaj', 'Emaj')",1
347,"('Gmaj', 'Dmin', 'Dmaj', 'Dmin')",1
349,"('Ebmin', 'Dbmin', 'Cmaj', 'Fmaj')",1
351,"('Fmaj', 'Dbmaj', 'Ebmaj', 'Bbmaj')",1
352,"('Cmaj', 'Fmaj', 'Abmaj', 'Ebmin')",1
353,"('Amin', 'Amaj', 'Amin', 'Fmaj')",1
354,"('Amaj', 'Bbmaj', 'Amaj', 'Bbmaj')",1
332,"('Fmaj', 'Cmaj', 'Cmin', 'Abmaj')",1
331,"('Bbmaj', 'Fmaj', 'Cmaj', 'Abmaj')",1
330,"('Gbmaj', 'Emaj', 'Abmin', 'Gmaj')",1
329,"('Bbmin', 'Fmaj', 'Ebmaj', 'Fmaj')",1
328,"('Abmaj', 'Bbmin', 'Fmaj', 'Ebmaj')",1
327,"('Abmaj', 'Bbmaj', 'Cmin', 'Abmaj')",1
326,"('Cmin', 'Abmaj', 'Bbmaj', 'Cmin')",1
325,"('Cmaj', 'Dmin', 'Ebmaj', 'Fmaj')",1
324,"('Gmin', 'Cmaj', 'Dmin', 'Ebmaj')",1
323,"('Gmaj', 'Cmin', 'Abmaj', 'Bbmaj')",1
322,"('Abmaj', 'Gmaj', 'Cmin', 'Abmaj')",1
321,"('Gmaj', 'Abmaj', 'Gmaj', 'Cmin')",1
318,"('Abmaj', 'Bbmaj', 'Gmin', 'Cmaj')",1
312,"('Gmin', 'Cmaj', 'Ebmaj', 'Gmin')",1
310,"('Cmaj', 'Ebmaj', 'Fmaj', 'Gmin')",1
308,"('Amin', 'Bmin', 'Dmin', 'Dmaj')",1
307,"('Bmin', 'Dmin', 'Dmaj', 'Dmin')",1
355,"('Bbmaj', 'Amaj', 'Bbmaj', 'Amin')",1
361,"('Gmaj', 'Bbmaj', 'Gmaj', 'Dmin')",1
425,"('Fmaj', 'Fmin', 'Gmaj', 'Bbmaj')",1
413,"('Fmin', 'Gmaj', 'Fmaj', 'Fmin')",1
402,"('Cmaj', 'Dmin', 'Cmaj', 'Dmin')",1
404,"('Amaj', 'Gmaj', 'Fmaj', 'Amin')",1
1,"('Gmaj', 'Gmin', 'Ebmaj', 'Gmin')",1
408,"('Amin', 'Fmaj', 'Gmaj', 'Cmaj')",1
411,"('Gmaj', 'Amin', 'Fmaj', 'Emin')",1
412,"('Amin', 'Fmaj', 'Emin', 'Amin')",1
418,"('Ebmaj', 'Gmin', 'Ebmaj', 'Abmaj')",1
365,"('Dmin', 'Dmaj', 'Dmin', 'Gmin')",1
419,"('Gmin', 'Gmaj', 'Ebmaj', 'Fmaj')",1
420,"('Gmaj', 'Ebmaj', 'Fmaj', 'Gmaj')",1
